ID,Name,Concepticon_ID,Concepticon_Gloss,Chinese_Gloss,Number
1_thesky,the sky,1732,SKY,天,1
2_thesun,the sun,1343,SUN,太阳,2
3_thestar,the star,1430,STAR,星星,3
4_themoon,the moon,1313,MOON,月亮,4
5_thecloud,the cloud,1489,CLOUD,云,5
6_theearth,the earth,1228,EARTH (SOIL),土地,6
7_themountain,the mountain,639,MOUNTAIN,山,7
8_thestone,the stone,857,STONE,石头,8
9_thesand,the sand,671,SAND,沙子,9
10_theroad,the road,667,ROAD,路,10
11_theforest,the forest,420,FOREST,森林,11
12_theocean,the ocean,645,OCEAN,海,12
13_thelake,the lake,624,LAKE,湖,13
14_theriver,the river,3311,FLOWING BODY OF WATER,河,14
15_thefog,the fog,249,FOG,雾,15
16_thesnow,the snow,784,SNOW,雪,16
17_thewind,the wind,960,WIND,风,17
18_therain,the rain,658,RAIN (PRECIPITATION),雨,18
19_theice,the ice,617,ICE,冰,19
20_thewater,the water,948,WATER,水,20
21_thefire,the fire,221,FIRE,火,21
22_theashes,the ashes,646,ASH,草木灰,22
23_thehead,the head,1256,HEAD,头,23
24_thehair,the hair,2648,HAIR (HEAD),头发,24
25_theear,the ear,1247,EAR,耳朵,25
26_theeye,the eye,1248,EYE,眼睛,26
27_thenose,the nose,1221,NOSE,鼻子,27
28_themouth,the mouth,674,MOUTH,嘴,28
29_thetongue,the tongue,1205,TONGUE,舌头,29
30_thetooth,the tooth,1380,TOOTH,牙齿,30
31_thewisdomtooth,the wisdom tooth,,,大牙,31
32_theneck,the neck,1333,NECK,脖子,32
33_thebreast,the breast,1402,BREAST,乳房,33
34_theback,the back,1291,BACK,背,34
35_thehand,the hand,1277,HAND,手,35
36_theleg,the leg,1297,LEG,腿,36
37_theknee,the knee,1371,KNEE,膝盖,37
38_thefoot,the foot,1301,FOOT,脚,38
40_thebone,the bone,1394,BONE,骨头,40
39_theskin,the skin,763,SKIN,皮肤,39
41_theheart,the heart,1223,HEART,心,41
42_theliver,the liver,1224,LIVER,肝,42
