ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
ZhaozhuangBai-1_thesky-1,,ZhaozhuangBai,1_thesky,xe⁵⁵ȵi⁴⁴,xe⁵⁵ȵi⁴⁴,x e ⁵⁵ + ȵ i ⁴⁴,,Zhao2006,,,^x e ⁵⁵ ȵ i ⁴⁴$,default
ZhaozhuangBai-2_thesun-1,,ZhaozhuangBai,2_thesun,mi⁴⁴phi³³phi³³,mi⁴⁴phi³³phi³³,m i ⁴⁴ + pʰ i ³³ + pʰ i ³³,,Zhao2006,,,^m i ⁴⁴ ph i ³³ ph i ³³$,default
ZhaozhuangBai-3_thestar-1,,ZhaozhuangBai,3_thestar,ɕɛ⁵⁵tsi³³,ɕɛ⁵⁵tsi³³,ɕ ɛ ⁵⁵ + ts i ³³,,Zhao2006,,,^ɕ ɛ ⁵⁵ ts i ³³$,default
ZhaozhuangBai-4_themoon-1,,ZhaozhuangBai,4_themoon,mi⁵⁵ua⁴⁴,mi⁵⁵ua⁴⁴,m i ⁵⁵ + w a ⁴⁴,,Zhao2006,,,^m i ⁵⁵ ua ⁴⁴$,default
ZhaozhuangBai-5_thecloud-1,,ZhaozhuangBai,5_thecloud,vʋ²¹,vʋ²¹,v ʋ/ʊ ²¹,,Zhao2006,,,^v ʋ ²¹$,default
ZhaozhuangBai-6_theearth-1,,ZhaozhuangBai,6_theearth,tɕi³³,tɕi³³,tɕ i ³³,,Zhao2006,,,^tɕ i ³³$,default
ZhaozhuangBai-7_themountain-1,,ZhaozhuangBai,7_themountain,sʋ⁴⁴,sʋ⁴⁴,s ʋ/ʊ ⁴⁴,,Zhao2006,,,^s ʋ ⁴⁴$,default
ZhaozhuangBai-8_thestone-1,,ZhaozhuangBai,8_thestone,tso⁴²khui⁵⁵,tso⁴²khui⁵⁵,ts o ⁴² + kʰ w i ⁵⁵,,Zhao2006,,,^ts o ⁴² kh ui ⁵⁵$,default
ZhaozhuangBai-9_thesand-1,,ZhaozhuangBai,9_thesand,sɔ⁵⁵,sɔ⁵⁵,s ɔ ⁵⁵,,Zhao2006,,,^s ɔ ⁵⁵$,default
ZhaozhuangBai-10_theroad-1,,ZhaozhuangBai,10_theroad,thu⁴⁴,thu⁴⁴,tʰ u ⁴⁴,,Zhao2006,,,^th u ⁴⁴$,default
ZhaozhuangBai-11_theforest-1,,ZhaozhuangBai,11_theforest,tsɯ³³ɕua³⁵,tsɯ³³ɕua³⁵,ts ɯ ³³ + ɕ w a ³⁵,,Zhao2006,,,^ts ɯ ³³ ɕ ua ³⁵$,default
ZhaozhuangBai-12_theocean-1,,ZhaozhuangBai,12_theocean,kɔ²¹,kɔ²¹,k ɔ ²¹,,Zhao2006,,,^k ɔ ²¹$,default
ZhaozhuangBai-13_thelake-1,,ZhaozhuangBai,13_thelake,ku²¹,ku²¹,k u ²¹,,Zhao2006,,,^k u ²¹$,default
ZhaozhuangBai-14_theriver-1,,ZhaozhuangBai,14_theriver,kʋ³⁵,kʋ³⁵,k ʋ/ʊ ³⁵,,Zhao2006,,,^k ʋ ³⁵$,default
ZhaozhuangBai-15_thefog-1,,ZhaozhuangBai,15_thefog,u⁵⁵lu⁵⁵,u⁵⁵lu⁵⁵,u ⁵⁵ + l u ⁵⁵,,Zhao2006,,,^u ⁵⁵ l u ⁵⁵$,default
ZhaozhuangBai-16_thesnow-1,,ZhaozhuangBai,16_thesnow,ɕy⁴⁴,ɕy⁴⁴,ɕ y ⁴⁴,,Zhao2006,,,^ɕ y ⁴⁴$,default
ZhaozhuangBai-17_thewind-1,,ZhaozhuangBai,17_thewind,pi³⁵si³⁵,pi³⁵si³⁵,p i ³⁵ + s i ³⁵,,Zhao2006,,,^p i ³⁵ s i ³⁵$,default
ZhaozhuangBai-18_therain-1,,ZhaozhuangBai,18_therain,u³³ɕi⁴⁴,u³³ɕi⁴⁴,u ³³ + ɕ i ⁴⁴,,Zhao2006,,,^u ³³ ɕ i ⁴⁴$,default
ZhaozhuangBai-19_theice-1,,ZhaozhuangBai,19_theice,piɯ⁴⁴,piɯ⁴⁴,p j ɯ ⁴⁴,,Zhao2006,,,^p iɯ ⁴⁴$,default
ZhaozhuangBai-20_thewater-1,,ZhaozhuangBai,20_thewater,ɕy³³,ɕy³³,ɕ y ³³,,Zhao2006,,,^ɕ y ³³$,default
ZhaozhuangBai-21_thefire-1,,ZhaozhuangBai,21_thefire,xui³³,xui³³,x w i ³³,,Zhao2006,,,^x ui ³³$,default
