Grapheme	IPA	Examples
4⁴$	⁴	ɕi4⁴
Grapheme	IPA	Examples
^a	a	a³³tɯ⁴⁴, a⁴⁴, a⁵⁵na⁴⁴
^f	f	fʋ³⁵, fʋ⁴⁴
^k	k	ka³⁵, ko³³, ko⁴⁴
^kh	kʰ	khi⁵⁵, khua⁴⁴, khʋ⁴⁴
^l	l	la⁴⁴tha⁴⁴, liou⁴⁴, lua⁴²
^m	m	ma²¹, ma³³, ma³⁵
^n	n	na³³, na⁵⁵, ne⁴⁴
^p	p	pa⁴², pa⁵⁵, pe²¹
^ph	pʰ	phe⁵⁵, phɛ³⁵, phɛ⁵⁵
^s	s	sa⁵⁵, se³³, se⁴⁴
^t	t	ta⁴⁴, te⁴⁴, ti³³
^th	tʰ	thu⁴⁴
^ts	ts	tsa⁵⁵tiɛ⁴⁴, tse²¹, tse⁴²
^tsh	tsʰ	tsha⁵⁵, tshi⁵⁵, tsho⁵⁵
^tɕ	tɕ	tɕa³³, tɕi³³, tɕi³⁵
^tɕh	tɕʰ	tɕho³³, tɕhui³³tɕhi⁴⁴, tɕhu⁵⁵
^u	u	u³³ɕi⁴⁴, u⁵⁵lu⁵⁵
^ua	w a	ua⁴²
^ui	w i	ui²¹, ui³³, ui³⁵
^v	v	vʋ²¹, vʋ³³, vʋ³⁵
^x	x	xa³⁵, xe⁵⁵ȵi⁴⁴, xi⁴⁴
^z	z	zu⁴²kuo³³, zɯ³³ki⁴⁴
^ŋ	ŋ	ŋa⁴⁴, ŋa⁵⁵, ŋɔ³³
^ȵ	ȵ	ȵa⁵⁵, ȵi²¹kɛ³⁵, ȵi⁴⁴
^ɔ	ɔ	ɔ⁴⁴liɔ⁴⁴ui²¹kɛ³³
^ɕ	ɕ	ɕa⁴⁴, ɕi4⁴, ɕi³³
^ɣ	ɣ	ɣɯ⁴⁴
^ɯ	ɯ	ɯ³³
^ʑ	ʑ	ʑa²¹phɯ⁵⁵, ʑa⁴⁴, ʑi³⁵
a	a	a⁵⁵na⁴⁴, a⁵⁵ta⁴⁴, a⁵⁵ʑa³³
e	e	ne⁴⁴, pe²¹, pe³³kɛ⁴⁴
f	f	pi³³fʋ⁴⁴tɯ²¹
i	i	a⁵⁵ȵi²¹, khi⁵⁵, mi³³
iou	j ou	liou⁴⁴, miou⁴⁴
